"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204768_s_at",4.67725166297118,6.58772576923077,17.7231319006386,6.7267413989665e-24,1.51088681061148e-21,44.2101916197467
"209882_at",4.40498583148559,7.53270826923077,17.5779867653158,9.76606029506088e-24,2.17717551637577e-21,43.8398223330027
"204709_s_at",4.9539688691796,7.47633846153846,17.5750035505178,9.84140938475675e-24,2.17772164852473e-21,43.8321861032525
"223381_at",5.55015412416851,8.13819942307692,17.5670417960268,1.00454090554975e-23,2.20651841702116e-21,43.811801418476
"217919_s_at",4.77345558758315,8.3359725,17.4931966728471,1.2154812792331e-23,2.65037023755696e-21,43.6224055187583
"203213_at",5.3578455210643,9.43641057692308,17.469891400221,1.29099694969015e-23,2.79463419406477e-21,43.5625095150884
"221591_s_at",4.049332172949,5.02424903846154,17.423542402781,1.45565740767237e-23,3.12840674384149e-21,43.4432134306908
"240988_x_at",-2.88966088691796,5.25805807692308,-17.4002946486948,1.54612866157355e-23,3.29910725051333e-21,43.3832883467676
"205878_at",-2.59717184035477,4.44547807692308,-17.2863029760343,2.07972806603949e-23,4.40622102956011e-21,43.0885966898542
"235561_at",-2.52010849223947,3.61649865384615,-17.2731423497725,2.15234023148132e-23,4.52794786866489e-21,43.0544817087506
"200810_s_at",-2.87833944567627,11.2871309615385,-17.2460567766427,2.30999199237376e-23,4.82562173343925e-21,42.9842103189393
"212271_at",4.15413024390244,8.61372192307692,17.2380219729358,2.35897794862287e-23,4.89373251800076e-21,42.9633490667435
"218474_s_at",3.77282082039911,7.14924865384615,17.2258539598002,2.43517985576779e-23,5.01697433319664e-21,42.9317429208502
"222606_at",3.10644303769401,7.94841903846154,17.2086887172899,2.54694921922649e-23,5.21130233054472e-21,42.8871287289103
"236262_at",-3.85080024390244,4.05167211538462,-17.1584705327973,2.90479915899795e-23,5.90306566508474e-21,42.7564191595335
"208952_s_at",4.87352949002217,7.26174692307692,17.1298126590824,3.13149289552376e-23,6.28870230534754e-21,42.681702049655
"222039_at",3.96653949002217,8.05258019230769,17.1291833899595,3.13666737018975e-23,6.28870230534754e-21,42.6800603883947
