"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221579_s_at",2.38206110864745,7.30974538461538,11.8825259551892,1.49897104107213e-16,5.71887125286689e-15,27.3327372965494
"231329_at",-2.03876494456763,3.54718134615385,-11.8810674707272,1.50611305591174e-16,5.73879021929227e-15,27.3279835178053
"209580_s_at",3.31448059866963,8.32610865384615,11.8787800314656,1.51738379165496e-16,5.77437019211574e-15,27.3205272918202
"221020_s_at",3.78440055432372,8.79296519230769,11.8759013581218,1.53168907282681e-16,5.81667965588463e-15,27.3111428928474
"223361_at",3.82206771618625,10.2577788461538,11.875759787193,1.53239610657825e-16,5.81667965588463e-15,27.3106813476659
"200727_s_at",3.91733583148559,7.453395,11.8731337032694,1.54557135735733e-16,5.85924532466186e-15,27.3021193989632
"205247_at",-2.37985354767184,5.56923519230769,-11.8670614117585,1.57647725863114e-16,5.9688346194028e-15,27.2823181915468
"1558093_s_at",3.95028388026608,6.96665326923077,11.8626629888429,1.59925371289831e-16,6.04570430530061e-15,27.2679723394531
"225638_at",2.22143676274944,9.12667653846154,11.8623614088333,1.6008275384102e-16,6.04570430530061e-15,27.2669886173278
"205451_at",-1.40185401330377,5.94771384615385,-11.8468000962856,1.68419960560472e-16,6.35253722452395e-15,27.2162132774966
"208698_s_at",2.39129988913526,9.38986980769231,11.8414648990556,1.71378436346279e-16,6.45597481585423e-15,27.1987977310787
"203109_at",4.19864815964523,6.54570076923077,11.8360900361187,1.74412104077004e-16,6.56198083764778e-15,27.181248979225
"219449_s_at",3.2819055654102,10.3389890384615,11.8333513798648,1.75978693703978e-16,6.61259310316845e-15,27.1723059180908
"59375_at",-3.08344751662971,4.3440375,-11.8297656480752,1.78051386375992e-16,6.68207168996232e-15,27.1605952708346
"209251_x_at",1.372766518847,13.0381826923077,11.8233298974779,1.81833673254502e-16,6.81545460618787e-15,27.1395725696193
"212065_s_at",3.20283580931264,6.79661557692308,11.8176126923214,1.85261835270365e-16,6.93524662284665e-15,27.1208925381653
"224207_x_at",-1.32137135254989,5.06832769230769,-11.8129274593414,1.88119923578546e-16,7.03342487742415e-15,27.1055811542857
